circulatingSupply,priceUsd,fecha
0,95577.6518608,2025-11-15
0,94255.2,2025-11-16
0,92141,2025-11-17
0,92990,2025-11-18
0,91502.85,2025-11-19
0,86587.51,2025-11-20
0,85123.98,2025-11-21
0,84691.43,2025-11-22
0,86825.1,2025-11-23
0,88290,2025-11-24
0,87371.216248,2025-11-25
0,90518.01,2025-11-26
0,91303.10902574495,2025-11-27
0,90917.84,2025-11-28
0,90831.72,2025-11-29
0,90380,2025-11-30
0,86328,2025-12-01
0,91328.01,2025-12-02
0,93484.12,2025-12-03
0,92131.04475,2025-12-04
0,89368.32,2025-12-05
0,89255.78,2025-12-06
0,90413,2025-12-07
0,90639.995,2025-12-08
0,92696.54,2025-12-09
0,91990.74,2025-12-10
0,92498.67,2025-12-11
0,90267.78,2025-12-12
0,90277.76,2025-12-13
0,88158.91,2025-12-14
0,86427.39,2025-12-15
